Case ID,Case Title,Accused Party
JF-001,"The Fabricated Dowry Demand Case Category: Dowry Harassment Case Description: Following marital discord over career priorities, Mrs. Sharma filed a complaint under IPC 498A against her husband and in-laws, claiming they had demanded a luxury car and ₹10 lakhs as additional dowry. She alleged physical abuse when demands weren't met. The couple had been married for 3 years with no previous complaints filed with police or women's helplines. Accused Party: Husband and in-laws Accuser's Intent: Leverage in divorce proceedings Legal Loophole Used: IPC 498A misuse without requirement of preliminary evidence Investigation & Evidence: Bank statements showed joint finances with no unusual withdrawals. Multiple witnesses, including neighbors and mutual friends, testified no signs of abuse were observed. Digital evidence revealed messages from the accuser to a friend discussing plans to ""teach him a lesson"" after learning of his promotion requiring relocation. Outcome & Judgment Basis: Case dismissed after investigation revealed ulterior motives. Court noted absence of contemporaneous medical records or witness corroboration.",
JF-002,The Manipulated Timeline Case Category: Rape Allegation Case Description: A college professor was accused of sexual assault by a former student who claimed the incident occurred during after-hours academic counseling. The allegation came two years after the student had graduated with poor academic performance. The accuser provided detailed accounts of the assault allegedly taking place in the professor's office. Accused Party: College Professor Accuser's Intent: Revenge for academic failure Legal Loophole Used: Extended statute of limitations for sexual offenses Investigation & Evidence: Security footage from the building revealed the professor was never alone with the student. Electronic key card access logs confirmed the professor's office wasn't accessed on the alleged date. Multiple witnesses confirmed the professor was at a departmental meeting during the claimed time of assault. Outcome & Judgment Basis: Case dismissed with court noting deliberate falsification of events and timeline manipulation. Accuser faced penalties for perjury.,
JF-003,"The Coerced Complaint Case Category: Domestic Violence Case Description: Mr. Patel was accused of domestic violence by his wife after 7 years of marriage. The complaint detailed alleged instances of physical and emotional abuse. Mrs. Patel sought custody of their child and possession of their jointly-owned home through an emergency protection order. Accused Party: Husband Accuser's Intent: Property acquisition Legal Loophole Used: Ex-parte protection order without cross-examination Investigation & Evidence: During proceedings, Mrs. Patel's mother testified that she had pressured her daughter to file false charges to secure property rights. Text messages between mother and daughter revealed discussions about ""making the complaint convincing."" Medical reports showed inconsistencies with alleged abuse timeline. Child's teacher testified about the husband's consistent involvement in parenting. Outcome & Judgment Basis: Case dismissed after evidence of coercion emerged. Court ordered family counseling and shared custody arrangement.",
JF-004,"The Office Rivalry Case Category: Workplace Harassment Case Description: A senior marketing executive was accused of sexual harassment by a colleague after both were considered for the same promotion. The accuser claimed persistent inappropriate comments and unwanted physical contact over several months, providing specific dates and instances. Accused Party: Senior Executive Accuser's Intent: Career rivalry Legal Loophole Used: Workplace Harassment Act's initial presumption of guilt Investigation & Evidence: Company email records showed professional communications only. Office surveillance footage contradicted specific allegations of physical proximity. Multiple colleagues provided statements that they had never observed inappropriate behavior. The accuser's performance reviews showed declining results preceding the allegations. Outcome & Judgment Basis: Internal investigation cleared the executive. External labor court dismissed the case, noting timing correlation with promotion announcement and lack of contemporaneous complaints.",
JF-005,"The Settlement Extraction Case Category: Dowry Harassment Case Description: Following six months of marriage, a woman filed multiple cases against her husband and his elderly parents, including dowry harassment (IPC 498A), domestic violence, and criminal breach of trust. She claimed they had demanded ₹25 lakhs and jewelry worth ₹10 lakhs, threatening her with divorce if demands weren't met. Accused Party: Husband and in-laws Accuser's Intent: Financial gain Legal Loophole Used: Multiple overlapping cases in different jurisdictions Investigation & Evidence: Investigation revealed recorded phone conversations where the accuser demanded ₹50 lakhs to withdraw cases. Pre-marriage communications showed no discussion of dowry. The accuser's previous relationship history showed similar patterns with an ex-fiancé. Witness testimonies from wedding attendees contradicted dowry claims. Outcome & Judgment Basis: All cases dismissed with court noting abuse of process. Judge recommended prosecution for extortion attempt.",
JF-006,"The Neighborly Dispute Case Category: Rape Allegation Case Description: A property dispute between neighbors escalated when Ms. Reddy accused her neighbor Mr. Khanna of sexual assault. She claimed he entered her apartment using a duplicate key and assaulted her when no one was home. The case was filed after a heated argument regarding parking space and building maintenance dues. Accused Party: Neighbor Accuser's Intent: Leverage in property dispute Legal Loophole Used: Immediate arrest provision in sexual assault cases Investigation & Evidence: Investigation revealed the accused was attending a family function 200 km away on the alleged date, with multiple witnesses and photographic evidence confirming his presence. CCTV footage from the apartment complex showed the accuser normally entering and leaving her apartment on the day of alleged assault with no signs of distress. Medical examination found no evidence consistent with assault claims. Outcome & Judgment Basis: Case dismissed with strong censure from court for misuse of serious criminal provisions. Housing society imposed penalties on accuser for false complaints.",
JF-007,"The Exit Strategy Case Category: Workplace Harassment Case Description: A probationary employee facing performance review issues filed a sexual harassment complaint against her direct supervisor. The complaint alleged inappropriate touching during one-on-one meetings and suggestive comments made via office messaging system. The timing coincided with her receiving a performance improvement plan. Accused Party: Supervisor Accuser's Intent: Avoiding termination Legal Loophole Used: Automatic suspension of disciplinary proceedings during harassment investigation Investigation & Evidence: Company messaging logs showed no inappropriate communications. Meeting room glass walls and open floor plan made alleged touching implausible. HR records revealed the performance improvement plan was initiated two weeks before the complaint. Colleagues testified that all meetings included multiple team members. Outcome & Judgment Basis: Company investigation dismissed the complaint. Labor court upheld termination for performance issues, noting timing and circumstantial evidence suggesting pretextual complaint.",
JF-008,"The Inheritance Dispute Case Category: Domestic Violence Case Description: After her father-in-law's death, a woman filed domestic violence charges against her husband and brother-in-law, claiming years of physical and emotional abuse. The complaint coincided with disputes over property inheritance worth several crores, with the woman demanding a share in ancestral property beyond her husband's portion. Accused Party: Husband and brother-in-law Accuser's Intent: Property acquisition Legal Loophole Used: Broad definition of ""economic violence"" under domestic violence legislation Investigation & Evidence: Family videos and photographs spanning the alleged abuse period showed normal family interactions. The woman's personal diary (submitted by her sister) contained entries contradicting abuse claims. Multiple family members including the accuser's own relatives testified about the harmonious relationship until the inheritance dispute arose. No medical records supported abuse claims despite allegations of severe physical violence. Outcome & Judgment Basis: Case dismissed with court noting apparent connection to inheritance dispute. Parties directed to civil court for property matters.",
JF-009,"The Custody Leverage Case Category: Rape Allegation Case Description: During contentious divorce proceedings, a woman accused her estranged husband of marital rape, claiming specific instances during their final year of marriage. The allegation emerged after the husband sought joint custody of their children and contested excessive alimony demands. Accused Party: Estranged husband Accuser's Intent: Custody advantage and increased alimony Legal Loophole Used: Presumptive denial of visitation rights during sexual violence investigation Investigation & Evidence: Investigation revealed emails and text messages showing consensual intimate relations during the period in question. The couple's counseling records (subpoenaed with consent) showed no mention of sexual abuse despite detailed discussion of marital problems. Children's teacher and psychologist testimonies indicated positive relationship with father. Accuser's communications with her lawyer revealed strategy to ""find something that will keep him away from kids."" Outcome & Judgment Basis: Criminal case dismissed with court referring matter back to family court. Judge granted shared custody, citing evidence of tactical allegations.",
JF-010,"The Corporate Takedown Case Category: Workplace Harassment Case Description: A high-profile CEO was accused of sexual harassment by a recently promoted executive assistant. The complaint detailed multiple instances of inappropriate behavior during business trips and late-night office meetings. The allegations received extensive media coverage, causing company stock value to plummet temporarily. Accused Party: CEO Accuser's Intent: Financial settlement Legal Loophole Used: Media trial preceding legal proceedings Investigation & Evidence: Travel records showed the CEO and accuser were never alone during claimed incidents as other staff were present. Digital forensic investigation of the accuser's devices revealed communications with a competitor discussing ""opportunity"" and potential compensation. Hotel staff and other employees present during business trips provided statements contradicting specific allegations. The company's anonymous ethics hotline had no prior reports despite purported long-term harassment. Outcome & Judgment Basis: Case dismissed after independent investigation. Securities regulator investigated possible market manipulation. Court sealed records after finding evidence of coordinated attempt to damage company reputation.",
